Categorii de someri, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Perioade, UM: Numar persoane, Valoare
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2011, Numar persoane, 3330
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2012, Numar persoane, 3460
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2013, Numar persoane, 3173
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2014, Numar persoane, 3342
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2015, Numar persoane, 3185
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2016, Numar persoane, 3159
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2017, Numar persoane, 2488
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2018, Numar persoane, 2058
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2019, Numar persoane, 1743
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2020, Numar persoane, 1982
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2021, Numar persoane, 1694
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2022, Numar persoane, 2168
- Primar  gimnazial si profesional, Feminin, Brasov, Anul 2023, Numar persoane, 2724
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2011, Numar persoane, 2258
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2012, Numar persoane, 1995
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2013, Numar persoane, 1843
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2014, Numar persoane, 1814
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2015, Numar persoane, 1660
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2016, Numar persoane, 1564
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2017, Numar persoane, 1199
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2018, Numar persoane, 1068
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2019, Numar persoane, 940
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2020, Numar persoane, 1495
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2021, Numar persoane, 1198
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2022, Numar persoane, 1017
- Primar  gimnazial si profesional, Feminin, Covasna, Anul 2023, Numar persoane, 1367
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2011, Numar persoane, 2584
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2012, Numar persoane, 2606
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2013, Numar persoane, 2604
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2014, Numar persoane, 2215
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2015, Numar persoane, 2126
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2016, Numar persoane, 2227
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2017, Numar persoane, 1894
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2018, Numar persoane, 1681
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2019, Numar persoane, 1590
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2020, Numar persoane, 2033
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2021, Numar persoane, 1501
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2022, Numar persoane, 1698
- Primar  gimnazial si profesional, Feminin, Harghita, Anul 2023, Numar persoane, 1664
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2011, Numar persoane, 4285
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2012, Numar persoane, 4301
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2013, Numar persoane, 3747
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2014, Numar persoane, 3931
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2015, Numar persoane, 3696
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2016, Numar persoane, 3623
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2017, Numar persoane, 2991
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2018, Numar persoane, 2317
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2019, Numar persoane, 2261
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2020, Numar persoane, 2045
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2021, Numar persoane, 1841
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2022, Numar persoane, 2493
- Primar  gimnazial si profesional, Feminin, Mures, Anul 2023, Numar persoane, 2255
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2011, Numar persoane, 2257
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2012, Numar persoane, 2341
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2013, Numar persoane, 2457
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2014, Numar persoane, 2555
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2015, Numar persoane, 2187
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2016, Numar persoane, 2250
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2017, Numar persoane, 1586
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2018, Numar persoane, 1133
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2019, Numar persoane, 1098
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2020, Numar persoane, 1783
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2021, Numar persoane, 1189
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2022, Numar persoane, 1572
- Primar  gimnazial si profesional, Feminin, Sibiu, Anul 2023, Numar persoane, 1741
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2011, Numar persoane, 39956
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2012, Numar persoane, 40554
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2013, Numar persoane, 41467
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2014, Numar persoane, 44544
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2015, Numar persoane, 44805
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2016, Numar persoane, 45633
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2017, Numar persoane, 40516
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2018, Numar persoane, 33921
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2019, Numar persoane, 30179
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2020, Numar persoane, 31789
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2021, Numar persoane, 26120
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2022, Numar persoane, 26724
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA DOI, Anul 2023, Numar persoane, 26188
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2011, Numar persoane, 20231
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2012, Numar persoane, 20072
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2013, Numar persoane, 20895
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2014, Numar persoane, 22484
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2015, Numar persoane, 22722
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2016, Numar persoane, 23902
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2017, Numar persoane, 21737
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2018, Numar persoane, 17802
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2019, Numar persoane, 16013
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2020, Numar persoane, 16557
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2021, Numar persoane, 13745
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2022, Numar persoane, 14263
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-EST, Anul 2023, Numar persoane, 14677
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2011, Numar persoane, 3822
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2012, Numar persoane, 3473
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2013, Numar persoane, 3514
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2014, Numar persoane, 3819
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2015, Numar persoane, 4136
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2016, Numar persoane, 4096
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2017, Numar persoane, 4629
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2018, Numar persoane, 3394
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2019, Numar persoane, 3148
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2020, Numar persoane, 2962
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2021, Numar persoane, 1913
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2022, Numar persoane, 1670
- Primar  gimnazial si profesional, Feminin, Bacau, Anul 2023, Numar persoane, 1536
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2011, Numar persoane, 1522
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2012, Numar persoane, 1526
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2013, Numar persoane, 1802
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2014, Numar persoane, 1873
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2015, Numar persoane, 2056
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2016, Numar persoane, 2367
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2017, Numar persoane, 1516
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2018, Numar persoane, 1291
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2019, Numar persoane, 1070
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2020, Numar persoane, 1256
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2021, Numar persoane, 908
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2022, Numar persoane, 1104
- Primar  gimnazial si profesional, Feminin, Botosani, Anul 2023, Numar persoane, 1206
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2011, Numar persoane, 4445
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2012, Numar persoane, 4302
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2013, Numar persoane, 4191
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2014, Numar persoane, 4295
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2015, Numar persoane, 4176
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2016, Numar persoane, 4329
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2017, Numar persoane, 4271
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2018, Numar persoane, 3203
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2019, Numar persoane, 2900
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2020, Numar persoane, 3335
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2021, Numar persoane, 2742
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2022, Numar persoane, 2981
- Primar  gimnazial si profesional, Feminin, Iasi, Anul 2023, Numar persoane, 2969
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2011, Numar persoane, 2940
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2012, Numar persoane, 2915
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2013, Numar persoane, 2987
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2014, Numar persoane, 3244
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2015, Numar persoane, 3156
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2016, Numar persoane, 3214
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2017, Numar persoane, 2988
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2018, Numar persoane, 2636
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2019, Numar persoane, 2355
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2020, Numar persoane, 2664
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2021, Numar persoane, 2092
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2022, Numar persoane, 1967
- Primar  gimnazial si profesional, Feminin, Neamt, Anul 2023, Numar persoane, 2372
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2011, Numar persoane, 3244
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2012, Numar persoane, 3346
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2013, Numar persoane, 3949
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2014, Numar persoane, 4386
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2015, Numar persoane, 4350
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2016, Numar persoane, 4596
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2017, Numar persoane, 3678
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2018, Numar persoane, 3427
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2019, Numar persoane, 3020
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2020, Numar persoane, 3200
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2021, Numar persoane, 3063
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2022, Numar persoane, 3416
- Primar  gimnazial si profesional, Feminin, Suceava, Anul 2023, Numar persoane, 3605
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2011, Numar persoane, 4258
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2012, Numar persoane, 4510
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2013, Numar persoane, 4452
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2014, Numar persoane, 4867
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2015, Numar persoane, 4848
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2016, Numar persoane, 5300
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2017, Numar persoane, 4655
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2018, Numar persoane, 3851
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2019, Numar persoane, 3520
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2020, Numar persoane, 3140
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2021, Numar persoane, 3027
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2022, Numar persoane, 3125
- Primar  gimnazial si profesional, Feminin, Vaslui, Anul 2023, Numar persoane, 2989
- Primar  gimnazial si profesional, Feminin, Regiunea SUD-EST, Anul 2011, Numar persoane, 19725
- Primar  gimnazial si profesional, Feminin, Regiunea SUD-EST, Anul 2012, Numar persoane, 20482
- Primar  gimnazial si profesional, Feminin, Regiunea SUD-EST, Anul 2013, Numar persoane, 20572
- Primar  gimnazial si profesional, Feminin, Regiunea SUD-EST, Anul 2014, Numar persoane, 22060
- Primar  gimnazial si profesional, Feminin, Regiunea SUD-EST, Anul 2015, Numar persoane, 22083
- Primar  gimnazial si profesional, Feminin, Regiunea SUD-EST, Anul 2016, Numar persoane, 21731
- Primar  gimnazial si profesional, Feminin, Regiunea SUD-EST, Anul 2017, Numar persoane, 18779
- Primar  gimnazial si profesional, Feminin, Regiunea SUD-EST, Anul 2018, Numar persoane, 16119
